symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,electronic_configuration,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,melting_point,name,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy
Tm,69,177,18.1,f,2220,9.321,144,1.029,[Xe] 4f13 6s2,2,232,,,3.54,HEX,1818,Thulium,6,9,0.16,,227,190,164,1.25,,232.2,,,175,,337.4,267,0.52,1.70E-07,0.2167244,279,2020,168.93422,2.00E-05,TRUE,FALSE,271,131,1879,37,15,22,20,3,50,30.09638585,168.93422,0,2,1818,1.25,1,0,0,13,6,1,15,2223,1,2.42,9321,1.9,21.8,50,1.25,4.6,173,15,2.42,1.25,1,1.75,1.25,6.18431
Yb,70,194,24.8,f,1466,6.9654,139,-0.02,[Xe] 4f14 6s2,2,159,3.35,,5.49,FCC,1097,Ytterbium,6,9,0.145,,226,187,170,,,155.6,,,175,,335.5,279,3.2,8.20E-07,0.22119,280,1910,173.045,0.01,,FALSE,277,129,1878,39,6,17,18,3,50,43.73967194,173.054,0,2,1092,1.1,0,0,0,14,6,0,16,1469,0,1.6,6570,1.87,20.9,50,1.1,1.3,194,16,1.6,1.06,0,1.75,1.1,6.25416
Lu,71,175,17.8,f,3668,9.8404,137,0.34,[Xe] 4f14 5d 6s2,2,414,,,3.51,HEX,1936,Lutetium,6,8,0.155,,224,187,162,1,6.455,427.6,,,175,,364,265,0.8,1.50E-07,0.22565,274,2020,174.9668,0.0001,,FALSE,270,131,1907,41,7,21,19,3,50,29.52403191,174.9668,1,2,1936,1.27,0,0,9,14,6,9,17,3675,1,4.43,9841,1.87,21.9,50,1.27,7.5,172,3,4.43,5.4258,1,1.75,1.27,5.425871
Hf,72,167,13.6,d,5470,13.31,103,0.014,[Xe] 4f14 5d2 6s2,2,575,25.1,4,3.2,HEX,2503,Hafnium,6,8,0.146,23,223,175,152,1.3,6.83,618.4,,,155,225,314.1,253,3,7.00E-06,0.229987,263,1040,178.49,0.02,,FALSE,264,128,1923,45,6,50,50,4,0,22.26871119,178.49,2,2,2506,1.3,0,0,8,14,6,8,18,4876,2,6.44,13310,1.75,16.2,0,1.3,14.2,150,4,6.44,6.825,2,1.55,1.3,6.82507
Ta,73,149,10.9,d,5698,16.654,74,0.322,[Xe] 4f14 5d3 6s2,2,758,24.7,5,3.31,BCC,3269,Tantalum,6,8,0.14,57.5,222,170,146,1.5,7.93,782,,,145,220,317,243,2,2.00E-06,0.234581,253,887,180.94788,2.00E-05,,FALSE,258,126,1802,49,20,53,52,5,31,18.04672956,180.94788,3,2,3290,1.5,0,0,7,14,6,7,19,5731,3,8.1,16650,1.7,13.1,31,1.5,21.6,138,5,8.1,1.5,3,1.45,1.5,7.54957
W,74,141,9.53,d,5930,19.3,68,0.81626,[Xe] 4f14 5d4 6s2,2,824,35,6,3.16,BCC,3680,Tungsten,6,8,0.133,173,218,162,137,1.7,8.67,851,,,135,210,309.6,239,1.25,0.0001,0.2390504,257,757,183.84,0.01,,FALSE,253,120,1783,53,15,56,57,6,79,15.85873442,183.84,4,2,3695,2.36,0,0,6,14,6,6,20,5828,4,8.9,19250,1.62,11.1,79,2.36,31.4,146,6,8.9,2.36,4,1.35,2.36,7.86403
Re,75,137,8.85,d,5900,21.02,62,0.15,[Xe] 4f14 5d5 6s2,2,704,34,7,2.76,HEX,3453,Rhenium,6,8,0.138,48,216,151,131,1.9,9.46,774,,,135,205,295.4,237,0.0007,4.00E-06,0.2435164,249,663,186.207,0.001,,FALSE,249,119,1925,57,3,59,58,7,15,14.71033423,186.207,5,2,3459,1.9,0,0,5,14,6,5,21,5869,5,8.03,21020,1.51,9.7,15,1.9,34.6,159,7,8.03,7.8335,5,1.35,1.9,7.83352
Os,76,135,8.43,d,5300,22.57,57,1.1,[Xe] 4f14 5d6 6s2,2,738,31.7,8,2.74,HEX,3327,Osmium,6,8,0.131,,216,144,129,2.2,9.78,787,,,130,200,312,235,0.0015,,0.2479845,248,584,190.23,0.03,,FALSE,244,116,1804,61,3,62,60,8,106,13.98369767,190.23,6,2,3306,2.2,0,0,4,14,6,4,22,5285,4,8.17,22590,1.44,8.5,106,2.2,44.5,128,8,8.17,8.4382,4,1.3,2.2,8.43823
Ir,77,136,8.54,d,4403,22.42,54,1.5638,[Xe] 4f14 5d7 6s2,2,604,27.61,9,3.84,FCC,2683,Iridium,6,8,0.133,147,213,141,122,2.2,9.96,669,,,135,200,284,236,0.001,,0.25106,241,522,192.217,0.003,,FALSE,233,115,1804,65,7,65,62,9,151,14.14855047,192.217,7,2,2739,2.2,0,0,3,14,6,3,23,4701,3,6.94,22560,1.41,7.6,151,2.2,48,137,9,6.94,8.967,3,1.35,2.2,8.96702
Pt,78,139,9.1,d,4100,21.45,48,2.128,[Xe] 4f14 5d9 6s,1,470,21.76,10,3.92,FCC,2045,Platinum,6,8,0.133,71.6,213,136,123,2.2,10.16,565.7,,,135,205,275.4,239,0.005,,0.25691,229,470,195.084,0.009,,FALSE,230,112,1735,69,4,68,64,10,205,15.36046351,195.084,9,1,2041.4,2.28,0,0,1,14,6,2,24,4098,2,5.84,21090,1.36,6.5,205,2.28,51.7,128,10,5.84,8.9588,2,1.35,2.28,8.95883
Au,79,146,10.2,d,3080,19.3,36,2.30863,[Xe] 4f14 5d10 6s,1,340,12.68,11,4.08,FCC,1337.58,Gold,6,8,0.129,318,214,136,124,2.4,11.33,368.2,,,135,210,329.3,243,0.004,4.00E-06,0.26137,232,427,196.966569,5.00E-06,TRUE,FALSE,226,121,,73,3,70,66,11,223,16.94706362,196.96657,10,1,1337.33,2.54,0,0,0,14,6,1,25,3129,1,3.81,19300,1.36,5.8,223,2.54,57.2,144,1,3.81,9.2255,1,1.35,2.54,9.225553
Hg,80,157,14.8,d,629.73,13.546,33.91,,[Xe] 4f14 5d10 6s2,2,58.5,2.295,12,2.99,RHL,234.28,Mercury,6,8,0.138,8.3,223,132,133,1.9,10.44,61.38,,,150,205,270.5,253,0.085,3.00E-05,0.169,245,268,200.592,0.003,,FALSE,229,142,,79,0.34,74,76,12,0,24.61174207,200.592,10,2,234.32,2,0,0,0,14,6,0,26,629.73,0,0.67,13534,1.32,5.36,0,2,7.8,149,2,0.67,10.4375,0,1.5,2,10.437504
Tl,81,171,17.2,p,1730,11.85,50,0.377,[Xe] 4f14 5d10 6s2 6p,3,162.4,4.31,13,3.46,HEX,576.6,Thallium,6,7,0.128,46.1,196,145,144,1.8,,182.2,,190,190,220,434.7,259,0.85,1.90E-05,0.173447,247,509,204.38,,,FALSE,242,142,1861,85,2,78,81,13,19,28.64087656,204.38,10,2,577,1.62,0,1,0,14,6,5,27,1746,1,1.88,11850,1.45,7.55,19,1.62,12.5,148,3,1.88,1.62,1,1.9,1.62,6.108287
Pb,82,175,18.3,p,2013,11.35,47,0.35674316,[Xe] 4f14 5d10 6s2 6p2,4,177.8,4.77,14,4.95,FCC,600.65,Lead,6,7,0.159,35.3,202,146,144,1.8,10.97,195.2,,,,230,429.7,274,14,3.00E-05,0.177911,260,534,207.2,0.1,,FALSE,249,135,,91,3,82,82,14,35,30.34142301,207.2,10,2,600.61,2.33,0,2,0,14,6,4,28,2022,2,2.03,11340,1.46,6.995,35,2.33,18.1,147,4,2.03,7.4166,2,1.8,2.33,7.4166796
Bi,83,170,21.3,p,1883,9.747,48,0.942362,[Xe] 4f14 5d10 6s2 6p3,5,172,11,15,4.75,RHL,544.5,Bismuth,6,7,0.124,7.9,207,148,151,1.9,11.9,209.6,,148,160,230,437,266,0.0085,2.00E-05,0.182377,254,513,208.9804,1.00E-05,TRUE,FALSE,250,141,,97,4,87,92,15,91,35.48345908,208.9804,10,2,544.4,2.02,0,3,0,14,6,3,29,1837,3,2.18,9780,1.48,0.4,91,2.02,23.8,146,5,2.18,7.2855,3,1.6,2.02,7.285516
Po,84,176,22.7,p,1235,9.32,44,1.9,[Xe] 4f14 5d10 6s2 6p4,6,102.9,10,16,3.35,SC,527,Polonium,6,5,0.125,,197,140,145,2,13,,,,190,,470.9,259,2.00E-10,1.50E-14,0.186842,,424,209,,,TRUE,250,135,1898,103,4,91,93,16,183,37.74040639,208.98243,10,2,527,2,0,4,0,14,6,2,30,1235,2,1.5,9196,1.4,6.8,183,2,31,,6,1.5,8.414,2,1.9,2,8.414
At,85,,,p,610,,42,2.8,[Xe] 4f14 5d10 6s2 6p5,7,,,17,,,575,Astatine,6,6,,,202,150,147,2.2,14.1,,,,,,475,251,,,0.19131,,351,210,,,TRUE,247,138,1940,110,4,96,98,17,270,,209.98715,10,2,575,2.2,0,5,0,14,6,1,31,,1,,,1.5,6,270,2.2,40,,7,,9.3175,1,,2.2,9.31751
Rn,86,,,p,211.4,4.4,35,,[Xe] 4f14 5d10 6s2 6p6,8,18.1,,18,,FCC,202,Radon,6,2,0.094,0.0036,220,150,142,,15.4,,,,,,476.5,243,4.00E-13,6.00E-16,0.195772,240,408,222,,,TRUE,243,145,1898,117,2,6,6,18,0,37887.79955,222.01758,10,2,202,0,0,6,0,14,6,0,32,211.3,0,0.202,9.73,1.5,5.3,0,0,26,145,0,0.202,10.7485,0,,2.2,10.7485
Fr,87,,,s,950,,317.8,0.486,[Rn] 7s,1,,15,1,,BCC,300,Francium,7,3,,,348,260,223,0.7,,,,,,,490,364,,,0.08731,,,223,,,TRUE,258,218,1939,6,2.4,7,7,1,47,,223.01974,0,1,,0.79,0,0,0,0,7,1,1,,1,,,2.6,47.85,47,0.79,15,,1,,4.0727,1,,0.7,4.0727409
Ra,88,,45,s,1413,5.5,246,0.1,[Rn] 7s2,2,113,9.6,2,,,973,Radium,7,4,0.12,,283,221,201,0.9,,159,,,215,,367.7,327,9.00E-07,8.90E-11,0.09789,,,226,,,TRUE,292,173,1898,10,4,13,13,2,10,75.05812023,226.02541,0,2,973,0.89,0,0,0,0,7,0,2,2010,0,1.66,5000,2.21,38.3,10,0.89,19,,2,1.66,5.2784,0,2.15,0.9,5.278424
Ac,89,188,22.54,d,3470,,203,0.35,[Rn] 6d 7s2,2,292.9,10.5,3,5.31,FCC,1320,Actinium,7,10,,,247,215,186,1.1,,406,,,195,,347.8,308,5.50E-10,,0.10033,280,,227,,,TRUE,293,153,1899,14,12,48,33,3,34,37.4330863,227.02775,1,2,1323,1.1,0,0,9,0,7,9,3,3473,1,4.25,10070,2.15,32.1,34,1.1,80,,3,4.25,5.17,1,1.95,1.1,5.380226
Th,90,180,19.8,f,5060,11.78,217,,[Rn] 6d2 7s2,2,513.7,16.11,,5.08,FCC,2028,Thorium,7,10,0.113,,245,206,175,1.3,,602,,,180,240,339.6,274,9.6,1.00E-06,0.10277,293,,232.0377,0.0004,,TRUE,289,143,1828,16,54,47,34,3,34,32.86568321,232.0377,2,2,2023,1.3,0,0,8,0,7,8,4,5093,2,6.2,11724,2.06,32.1,34,1.3,16.6,180,4,6.2,1.3,2,1.8,1.3,6.3067
Pa,91,161,15,f,4300,15.37,154,,[Rn] 5f2 6d 7s2,2,481.2,16.7,,3.92,TET,2113,Protactinium,7,10,0.121,,243,200,169,1.5,,563,,,180,,342.4,264,1.40E-06,5.00E-11,0.12149,288,,231.03588,2.00E-05,TRUE,TRUE,285,138,1917,18,20,46,35,3,34,24.96116063,231.03588,1,2,1845,1.5,12,0,9,2,7,21,5,4273,3,,15370,2,25.4,34,1.5,94,161,5,,5.89,3,1.8,1.5,5.89
U,92,138,12.5,f,4018,19.05,129,,[Rn] 5f3 6d 7s2,2,417,12.6,,2.85,ORC,1405.5,Uranium,7,10,0.115,27.5,241,196,170,1.7,,533,,,175,230,339.5,252,2.7,0.0032,0.13207,271,,238.02891,3.00E-05,,TRUE,283,134,1789,20,17,45,36,3,34,20.7488474,238.02891,1,2,1408,1.38,11,0,9,3,7,20,6,4200,4,5.55,19050,1.96,24.9,34,1.38,16.8,139,6,5.55,1.38,4,1.75,1.38,6.19405
Np,93,130,21.1,f,4175,20.25,151,,[Rn] 5f4 6d 7s2,2,336,9.6,,4.72,ORC,913,Neptunium,7,10,,,239,190,171,1.3,,464.8,,,175,,342.4,252,,,0.14265,282,,237,,,TRUE,280,136,1940,22,20,44,37,3,34,19.24483901,237.04817,1,2,917,1.36,10,0,9,4,7,19,7,4273,5,4.73,20450,1.9,24.8,34,1.36,18,140,7,4.73,6.2657,5,1.75,1.36,6.2655
Pu,94,151,,f,3505,19.84,132,,[Rn] 5f6 7s2,2,343.5,2.8,,,MCL,914,Plutonium,7,10,,,243,187,172,1.3,,345,,,175,,342.4,252,,,0.16137,281,,244,,,TRUE,278,135,1940,24,20,43,38,3,34,20.44716406,244.06421,0,2,913,1.28,8,0,0,6,7,8,8,3503,6,3.6,19816,1.87,24.5,34,1.28,16,151,8,3.6,6.026,6,1.75,1.28,6.0258
Am,95,173,20.8,f,2880,13.67,131,,[Rn] 5f7 7s2,2,238.5,10,,,,1267,Americium,7,10,,,244,180,166,,,284,,,175,,338.1,,,,0.17194,283,,243,,,TRUE,276,135,1945,26,25,42,39,3,34,29.51868508,243.06138,0,2,1449,1.3,7,0,0,7,7,7,9,2284,7,2.73,13670,1.8,23.3,34,1.3,16,140,9,2.73,5.9738,7,1.75,1.3,5.9738
Cm,96,299,18.28,f,,13.51,144,,[Rn] 5f7 6d 7s2,2,,,,,,1340,Curium,7,10,,,245,169,166,,,386,,,,,332.6,,,,0.17439,305,,247,,,TRUE,276,136,1944,28,25,41,40,3,34,30.35993609,247.07035,1,2,1618,1.3,7,0,9,7,7,16,10,3383,8,3.99,13510,1.69,23,34,1.3,16,,10,3.99,5.9914,8,,1.3,5.9914
Bk,97,297,,f,,13.25,125,,[Rn] 5f9 7s2,2,,,,,,,Berkelium,7,10,,,244,,168,,,310,,,,,333.9,,,,0.19315,340,,247,,,TRUE,,139,1949,30,25,40,41,3,34,27.75120004,247.07031,0,2,1323,1.3,5,0,0,9,7,5,11,,5,,14780,,22.7,34,1.3,16,,11,,6.1979,5,,1.3,6.1978
Cf,98,295,,f,,15.1,122,,[Rn] 5f10 7s2,2,,,,,,900,Californium,7,10,,,245,,168,,,196,,,,,331.3,,,,0.20369,305,,251,,,TRUE,,140,1950,32,20,39,42,3,34,27.60298332,251.07959,0,2,1173,1.3,4,0,0,10,7,4,12,,4,,15100,,20.5,34,1.3,17,,12,,6.2817,4,,1.3,6.2817
Es,99,292,,f,1130,,118,,[Rn] 5f11 7s2,2,,,,,,,Einsteinium,7,10,,,245,,165,,,133,,,,,329.9,,,,0.21427,270,,252,,,TRUE,,140,1952,34,20,38,43,3,34,,252.083,0,2,1133,1.3,3,0,0,11,7,3,13,,4,,,,19.7,34,1.3,17,,13,,6.42,4,,1.3,6.3676
Fm,100,290,,f,,,113,,[Rn] 5f12 7s2,2,,,,,,1800,Fermium,7,10,,,245,,167,,,,,,,,328.6,,,,0.22485,,,257,,,TRUE,,,1953,36,20,37,44,3,34,,257.09511,0,2,1800,1.3,2,0,0,12,7,2,14,,2,,,,23.8,34,1.3,17,,14,,6.5,2,,1.3,6.5
Md,101,287,,f,,,109,,[Rn] 5f13 7s2,2,,,,,,1100,Mendelevium,7,10,,,246,,173,,,,,,,,327.4,,,,0.23542,,,258,,,TRUE,,139,1955,38,20,36,45,3,34,,258.09843,0,2,1100,1.3,1,0,0,13,7,1,15,,1,,,,18.2,34,1.3,17,,15,,6.58,1,,1.3,6.58
No,102,285,,f,,,110,,[Rn] 5f14 7s2,2,,,,,,1100,Nobelium,7,10,,,246,,176,,,,,,,,324.8,,,,0.246,,,259,,,TRUE,,,1957,40,6,35,46,3,34,,259.101,0,2,1100,1.3,0,0,0,14,7,0,16,,0,,,,16.4,34,1.3,18,,2,,6.65,0,,1.3,6.65
Lr,103,282,,f,,,320,,[Rn] 5f14 6d 7s2,3,,,,,,,Lawrencium,7,8,,,246,,161,,,,,,,,323.6,,,,0.24844,,,262,,,TRUE,,141,1961,42,20,34,47,3,,,,0,2,1900,,,1,,14,7,,,,,,,,,,,,,,,,,,1.3,4.9
Rf,104,,,d,,,112,,[Rn] 5f14 6d2 7s2,,,,4,,,,Rutherfordium,7,8,,,,,157,,,,,,,,,,,,,,,267,,,TRUE,,140,1969,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
Db,105,,,d,,,42,,[Rn] 5f14 6d3 7s2,,,,5,,,,Dubnium,7,8,,,,,149,,,,,,,,,,,,,,,268,,,TRUE,,136,1970,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
Sg,106,,,d,,,40,,[Rn] 5f14 6d4 7s2,,,,6,,,,Seaborgium,7,8,,,,,143,,,,,,,,,,,,,,,271,,,TRUE,,128,1974,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
Bh,107,,,d,,,38,,[Rn] 5f14 6d5 7s2,,,,7,,,,Bohrium,7,8,,,,,141,,,,,,,,,,,,,,,274,,,TRUE,,128,1976,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
Hs,108,,,d,,,36,,[Rn] 5f14 6d6 7s2,,,,8,,,,Hassium,7,8,,,,,134,,,,,,,,,,,,,,,269,,,TRUE,,125,1984,62,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
Mt,109,,,d,,,34,,[Rn] 5f14 6d7 7s2,,,,9,,,,Meitnerium,7,8,,,,,129,,,,,,,,,,,,,,,276,,,TRUE,,125,1982,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ds,110,,,d,,,32,,[Rn] 5f14 6d9 7s1,,,,10,,,,Darmstadtium,7,8,,,,,128,,,,,,,,,,,,,,,281,,,TRUE,,116,1994,70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rg,111,,,d,,,32,,[Rn] 5f14 6d10 7s1,,,,11,,,,Roentgenium,7,8,,,,,121,,,,,,,,,,,,,,,281,,,TRUE,,116,1994,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn,112,,,d,,,28,,[Rn] 5f14 6d10 7s2,,,,12,,,,Copernicium,7,8,,,,,122,,,,,,,,,,,,,,,285,,,TRUE,,137,1996,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nh,113,,,p,,,29,,[Rn] 5f14 6d10 7s2 7p1,,,,13,,,,Nihonium,7,7,,,,,136,,,,,,,,,,,,,,,286,,,TRUE,,,2015,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl,114,,,p,,,31,,[Rn] 5f14 6d10 7s2 7p2,,,,14,,,,Flerovium,7,7,,,,,143,,,,,,,,,,,,,,,289,,,TRUE,,,1998,92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc,115,,,p,,,71,,[Rn] 5f14 6d10 7s2 7p3,,,,15,,,,Moscovium,7,7,,,,,162,,,,,,,,,,,,,,,288,,,TRUE,,,2003,98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lv,116,,,p,,,,,[Rn] 5f14 6d10 7s2 7p4,,,,16,,,,Livermorium,7,7,,,,,175,,,,,,,,,,,,,,,293,,,TRUE,,,2000,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ts,117,,,p,,,76,,[Rn] 5f14 6d10 7s2 7p5,,,,17,,,,Tennessine,7,6,,,,,165,,,,,,,,,,,,,,,294,,,TRUE,,,2010,111,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Og,118,,,p,,,58,0.056,[Rn] 5f14 6d10 7s2 7p6,,,,18,,,,Oganesson,7,2,,,,,157,,,,,,,,,,,,,,,294,,,TRUE,,,2002,118,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
